name,year,location,program,verticals,description,website,linkedin,crunchbase,twitter,facebook,scraped_year,founder_first_name,founder_last_name,founder_full_name,founder_linkedin_url,founder_location,founder_is_austin
Conductrics,Techstars 2012,"Brooklyn, New York, United States",,"Artificial intelligence and machine learning, Fintech",Intelligent decisions as a service,https://conductrics.com,https://linkedin.com/company/conductrics,https://crunchbase.com/organization/conductrics,https://twitter.com/conductrics,https://facebook.com/pages/Conductrics/509816032375361,2012,Matt,Gershoff,Matt Gershoff,https://www.linkedin.com/in/mattgershoff,"Austin, Texas, United States",True
Dashbell,Techstars 2012,"Cambridge, Massachusetts, United States",Techstars Boston Accelerator,"Real estate tech, Technology, media and telecommunications",OpenTable for independent hotels,,https://linkedin.com/company/dashbell,https://crunchbase.com/organization/bookingmarkets-dashbell,https://twitter.com/dashbell,https://facebook.com/dashbelltravel,2012,Paige,Green (Brown),Paige Green (Brown),https://www.linkedin.com/in/paigebrown,"Austin, Texas, United States",True
Cloudsnap,Techstars 2012,"Reno, Nevada, United States",,"Fintech, Infrastructure, SaaS",Integration as a service,,https://linkedin.com/company/cloudsnapconnect,https://crunchbase.com/organization/cloudsnap,https://twitter.com/cloudsnap,https://facebook.com/cloudsnap,2012,Rick,Barkley,Rick Barkley,https://www.linkedin.com/in/rick-barkley-8839b87,"Austin, Texas, United States",True
Jebbit,Techstars 2013,"Boston, Massachusetts, United States",Techstars Boston Accelerator,"Adtech, Marketing tech",Jebbit is a no-code platform that lets you design and launch engaging quizzes and product recommendations without IT or engineering support.,https://jebbit.com,https://linkedin.com/company/2568979,https://crunchbase.com/organization/jebbit,https://twitter.com/jebbit,https://facebook.com/jebbitinc,2013,Jonathan,Lacoste,Jonathan Lacoste,https://www.linkedin.com/in/jonathanlacoste,"Austin, Texas, United States",True
Patient IO,Techstars 2013,"Austin, Texas, United States",Techstars Austin Accelerator,Mobile,We help health systems transition into value-based care by better connecting them with patients between visits.,https://patientio.com,https://linkedin.com/company/filament-labs-inc-,https://crunchbase.com/organization/filament-labs,https://twitter.com/patientio,https://facebook.com/filamentlabs,2013,Colin,Anawaty,Colin Anawaty,https://www.linkedin.com/in/colinanawaty,"Austin, Texas, United States",True
Patient IO,Techstars 2013,"Austin, Texas, United States",Techstars Austin Accelerator,Mobile,We help health systems transition into value-based care by better connecting them with patients between visits.,https://patientio.com,https://linkedin.com/company/filament-labs-inc-,https://crunchbase.com/organization/filament-labs,https://twitter.com/patientio,https://facebook.com/filamentlabs,2013,Jason,Bornhorst,Jason Bornhorst,https://www.linkedin.com/in/jbornhorst,"Austin, Texas, United States",True
Fosbury,Techstars 2013,"Austin, Texas, United States",Techstars Austin Accelerator,"Fintech, Mobile",Drive store traffic and repeat business with mobile wallets campaigns,https://fosbury.co,https://linkedin.com/company/3010779,https://crunchbase.com/organization/fosbury,https://twitter.com/wearefosbury,https://facebook.com/wearefosbury,2013,Lucas,Tieleman,Lucas Tieleman,https://www.linkedin.com/in/lucastieleman,"Austin, Texas Metropolitan Area",True
MarketVibe,Techstars 2013,"Austin, Texas, United States",Techstars Austin Accelerator,Fintech,Turn your website traffic into sales,https://marketvibe.com,https://linkedin.com/company/marketvibe,https://crunchbase.com/organization/marketvibe,https://twitter.com/WhooshTraffic,https://facebook.com/whooshtraffic,2013,Parnell,Springmeyer,Parnell Springmeyer,https://www.linkedin.com/in/pspringmeyer,"Austin, Texas, United States",True
TrueAbility,Techstars 2013,"San Antonio, Texas, United States",,"Edtech, HRtech","Performance-based IT Skills Assessment, Training and Certification Made Easy",https://trueability.com,https://linkedin.com/company/trueability,https://crunchbase.com/organization/trueability,https://twitter.com/trueability,https://facebook.com/TrueAbilityScreen,2013,Dusty,Jones,Dusty Jones,https://www.linkedin.com/in/dustyjones,"Austin, Texas Metropolitan Area",True
ProtoExchange,Techstars 2013,"Austin, Texas, United States",Techstars Austin Accelerator,,On-demand hardware assistance from expert hardware developers,,https://linkedin.com/company/3229848,https://crunchbase.com/organization/protoexchange,https://twitter.com/ProtoExchange,,2013,Orie,Steele,Orie Steele,https://www.linkedin.com/in/or13b/,"Austin, Texas, United States",True
Gone,Techstars 2013,"San Francisco, California, United States",Techstars Austin Accelerator,"E-commerce, Mobile","Price, resell, ship, recycle",,https://linkedin.com/company/gone-app,https://crunchbase.com/organization/gone,https://twitter.com/thegoneapp,https://facebook.com/thegoneapp,2013,Nicolas,Bayerque,Nicolas Bayerque,https://www.linkedin.com/in/gonenicolasb,"Austin, Texas, United States",True
Embrace,Techstars 2013,"Austin, Texas, United States",Techstars Austin Accelerator,"Artificial intelligence and machine learning, Fintech, Mobile",Authentic customer relationships,,https://linkedin.com/company/embrace.io,https://crunchbase.com/organization/embrace,https://twitter.com/,https://facebook.com/EmbraceCloud,2013,Bart,Bohn,Bart Bohn,https://www.linkedin.com/in/bart-bohn,"Austin, Texas, United States",True
Embrace,Techstars 2013,"Austin, Texas, United States",Techstars Austin Accelerator,"Artificial intelligence and machine learning, Fintech, Mobile",Authentic customer relationships,,https://linkedin.com/company/embrace.io,https://crunchbase.com/organization/embrace,https://twitter.com/,https://facebook.com/EmbraceCloud,2013,Kevin,Safford,Kevin Safford,https://www.linkedin.com/in/kevinsafford,"Austin, Texas, United States",True
Convey,Techstars 2014,"Austin, Texas, United States",Techstars Austin Accelerator,Supply chain technology,Convey helps businesses worldwide to take control of shipping and delivery.,https://getconvey.com,https://linkedin.com/company/convey-inc,https://crunchbase.com/organization/convey#/entity,https://twitter.com/get_convey,https://facebook.com/pivotfreight,2014,Dan,Bebout,Dan Bebout,https://www.linkedin.com/in/danbebout,"Austin, Texas, United States",True
Convey,Techstars 2014,"Austin, Texas, United States",Techstars Austin Accelerator,Supply chain technology,Convey helps businesses worldwide to take control of shipping and delivery.,https://getconvey.com,https://linkedin.com/company/convey-inc,https://crunchbase.com/organization/convey#/entity,https://twitter.com/get_convey,https://facebook.com/pivotfreight,2014,Jenny,Bebout,Jenny Bebout,https://www.linkedin.com/in/jennybebout,"Austin, Texas, United States",True
Convey,Techstars 2014,"Austin, Texas, United States",Techstars Austin Accelerator,Supply chain technology,Convey helps businesses worldwide to take control of shipping and delivery.,https://getconvey.com,https://linkedin.com/company/convey-inc,https://crunchbase.com/organization/convey#/entity,https://twitter.com/get_convey,https://facebook.com/pivotfreight,2014,Rob,Taylor,Rob Taylor,https://www.linkedin.com/in/robertjtaylor,"Austin, Texas, United States",True
LawnStarter,Techstars 2014,"Austin, Texas, United States",Techstars Austin Accelerator,Mobile,The easiest way to order and manage lawn care service,https://lawnstarter.com,https://linkedin.com/company/3280182,https://crunchbase.com/organization/lawnstarter,https://twitter.com/LawnStarter,https://facebook.com/lawnstarter,2014,Jonas,Weigert,Jonas Weigert,https://www.linkedin.com/in/jonas-weigert,"Austin, Texas, United States",True
LocateAI,Techstars 2014,"San Francisco, California, United States",Techstars Seattle Accelerator,Artificial intelligence and machine learning,Make intelligent real estate decisions,https://locate.ai,https://linkedin.com/company/locateai,https://crunchbase.com/organization/locateai#section-overview,https://twitter.com/LocateAI,,2014,Stephen,Quinonez,Stephen Quinonez,https://www.linkedin.com/in/stephenquinonez,"Austin, Texas Metropolitan Area",True
10% Happier: Meditation for Fidgety Skeptics,Techstars 2014,"Boston, Massachusetts, United States",Techstars Boston Accelerator,"Lifestyles of Health and Sustainability and wellness, Mobile","course platform for behavior change, powered by the advice of world-class experts.",https://10percenthappier.com,https://linkedin.com/company/4536313,https://crunchbase.com/organization/change-collective,https://twitter.com/10percent,https://facebook.com/changecollective,2014,Derek,Haswell,Derek Haswell,https://www.linkedin.com/in/jscottbritton,"Austin, Texas, United States",True
Self,Techstars 2015,"Austin, Texas, United States",Techstars Austin Accelerator,Fintech,Helping people establish credit history,https://self.inc,https://linkedin.com/company/self-financial,https://crunchbase.com/organization/self-b0c2,https://twitter.com/SelfCreditApp,https://facebook.com/SelfFinancialInc/,2015,James,Garvey,James Garvey,https://www.linkedin.com/in/jkgarvey,"Austin, Texas, United States",True
Tenfold,Techstars 2015,"Austin, Texas, United States",,"Artificial intelligence and machine learning, Infrastructure, Mobile",Tenfold is the #1 Sales Call Workflow.,https://tenfold.com,https://linkedin.com/company/tenfold-brand,https://crunchbase.com/organization/callinize#/entity,https://twitter.com/growtenfold,https://facebook.com/growtenfold,2015,Dan,Sincavage,Dan Sincavage,https://www.linkedin.com/in/daniel-sincavage,"Austin, Texas, United States",True
Liveoak Technologies,Techstars 2015,"Austin, Texas, United States","New York Barclays Accelerator, powered by","Artificial intelligence and machine learning, Fintech, Insurtech, SaaS","Customer engagement platform that simplifies paperwork through real-time videoconferencing, collaboration, and in session eSignature on any device",https://liveoak.net,https://linkedin.com/company/liveoak-technologies,https://crunchbase.com/organization/liveoak-technologies,https://twitter.com/liveoaknet,https://facebook.com/liveoakNet,2015,Alex,Hardy,Alex Hardy,https://www.linkedin.com/in/alexbhardy,"Austin, Texas, United States",True
Liveoak Technologies,Techstars 2015,"Austin, Texas, United States","New York Barclays Accelerator, powered by","Artificial intelligence and machine learning, Fintech, Insurtech, SaaS","Customer engagement platform that simplifies paperwork through real-time videoconferencing, collaboration, and in session eSignature on any device",https://liveoak.net,https://linkedin.com/company/liveoak-technologies,https://crunchbase.com/organization/liveoak-technologies,https://twitter.com/liveoaknet,https://facebook.com/liveoakNet,2015,Andy,Ambrose,Andy Ambrose,https://www.linkedin.com/in/andyambrose,"Austin, Texas, United States",True
Liveoak Technologies,Techstars 2015,"Austin, Texas, United States","New York Barclays Accelerator, powered by","Artificial intelligence and machine learning, Fintech, Insurtech, SaaS","Customer engagement platform that simplifies paperwork through real-time videoconferencing, collaboration, and in session eSignature on any device",https://liveoak.net,https://linkedin.com/company/liveoak-technologies,https://crunchbase.com/organization/liveoak-technologies,https://twitter.com/liveoaknet,https://facebook.com/liveoakNet,2015,Peter,Rung,Peter Rung,https://www.linkedin.com/in/peterung1,"Austin, Texas, United States",True
StopLight,Techstars 2015,"Austin, Texas, United States",Techstars Austin Accelerator,"Cloudtech and DevOps, SaaS","Helping developers build, test, and improve their web APIs.",https://stoplight.io,https://linkedin.com/company/stoplight,https://crunchbase.com/organization/stoplight,https://twitter.com/stoplightio,https://facebook.com/stoplightio/,2015,Marc,MacLeod,Marc MacLeod,https://www.linkedin.com/in/marcmacleod,"Austin, Texas, United States",True
Bitfusion,Techstars 2015,"Sunnyvale, California, United States",,"Artificial intelligence and machine learning, Mobile",Bringing supercomputing performance to software without code changes,https://bitfusion.io,https://linkedin.com/company/bitfusion-io,https://crunchbase.com/organization/bitfusion-io,https://twitter.com/bitfusionio,https://facebook.com/pages/Bitfusionio/1573363589613244,2015,Maciej,Bajkowski,Maciej Bajkowski,https://www.linkedin.com/in/bajkowski,"Austin, Texas, United States",True
Bitfusion,Techstars 2015,"Sunnyvale, California, United States",,"Artificial intelligence and machine learning, Mobile",Bringing supercomputing performance to software without code changes,https://bitfusion.io,https://linkedin.com/company/bitfusion-io,https://crunchbase.com/organization/bitfusion-io,https://twitter.com/bitfusionio,https://facebook.com/pages/Bitfusionio/1573363589613244,2015,Subbu,Rama,Subbu Rama,https://www.linkedin.com/in/subburama,"Austin, Texas, United States",True
Card Isle,Techstars 2015,"Blacksburg, Virginia, United States",,"E-commerce, Fintech",Send meaningful greeting cards,https://cardisle.com,https://linkedin.com/company/card-isle,https://crunchbase.com/organization/card-isle,https://twitter.com/CardIsle,https://facebook.com/theCardIsle,2015,Stephan,Sabo,Stephan Sabo,https://www.linkedin.com/in/stephan-sabo-9436135b,"Rochester-Austin, Minnesota Area",True
Clyp,Techstars 2015,"Austin, Texas, United States",,Audiotech,"Clyp is a community for musicians to upload, share and collaborate on the music they are creating.",https://clyp.it,https://linkedin.com/company/clyp-eu,https://crunchbase.com/organization/clyp,https://twitter.com/Clyp_It,https://facebook.com/ClypIt,2015,Jordan,Patapoff,Jordan Patapoff,https://www.linkedin.com/in/jpatapoff,"Austin, Texas, United States",True
TheGreatOut,Techstars 2015,"Austin, Texas, United States",Techstars Austin Accelerator,Mobile,The marketplace for hunters and outdoorsmen to find and book hunting opportunities,,https://linkedin.com/company/10789138,https://crunchbase.com/organization/hunting-locator,https://twitter.com/HuntingLocator,https://facebook.com/HuntingLocator,2015,Janis,Gonser,Janis Gonser,https://www.linkedin.com/in/janisgonser,"Austin, Texas, United States",True
Red Fox Insights,Techstars 2015,"Austin, Texas, United States",Techstars Austin Accelerator,"Gaming, Mobile",Red Fox Insights is a research firm that provides authentic access to the gaming community.,,https://linkedin.com/company/red-fox-clan,https://crunchbase.com/organization/red-fox-clan,https://twitter.com/redfoxinsights,https://facebook.com/redfoxclancommunity,2015,Drew,Giovannoli,Drew Giovannoli,https://www.linkedin.com/in/drewgiovannoli,"Austin, Texas, United States",True
HuBoard,Techstars 2015,"Austin, Texas, United States",,"Technology, media and telecommunications","HuBoard provides simple agile tracking boards, keeping your developers productive and your projects organized.",,https://linkedin.com/company/huboard-inc-,https://crunchbase.com/organization/huboard,https://twitter.com/huboard,https://facebook.com/HuBoard,2015,Ryan,Rauh,Ryan Rauh,https://www.linkedin.com/in/ryan-rauh-092055a2,"Austin, Texas, United States",True
The Helper Bees,Techstars 2016,"Austin, Texas, United States",Techstars Austin Accelerator,"Fintech, Insurtech, Lifestyles of Health and Sustainability and wellness",A tech enabled in-home care platform that encourages aging in place by using personality matching to connect private duty caregivers with seniors.,https://thehelperbees.com,https://linkedin.com/company/the-helper-bees,https://crunchbase.com/organization/the-helper-bees,https://twitter.com/thehelperbees,https://facebook.com/thehelperbees,2016,Char,Hu,Char Hu,https://www.linkedin.com/in/charhu,"Austin, Texas, United States",True
The Helper Bees,Techstars 2016,"Austin, Texas, United States",Techstars Austin Accelerator,"Fintech, Insurtech, Lifestyles of Health and Sustainability and wellness",A tech enabled in-home care platform that encourages aging in place by using personality matching to connect private duty caregivers with seniors.,https://thehelperbees.com,https://linkedin.com/company/the-helper-bees,https://crunchbase.com/organization/the-helper-bees,https://twitter.com/thehelperbees,https://facebook.com/thehelperbees,2016,Danny,Lynch,Danny Lynch,https://www.linkedin.com/in/danny31415,"Austin, Texas Metropolitan Area",True
The Helper Bees,Techstars 2016,"Austin, Texas, United States",Techstars Austin Accelerator,"Fintech, Insurtech, Lifestyles of Health and Sustainability and wellness",A tech enabled in-home care platform that encourages aging in place by using personality matching to connect private duty caregivers with seniors.,https://thehelperbees.com,https://linkedin.com/company/the-helper-bees,https://crunchbase.com/organization/the-helper-bees,https://twitter.com/thehelperbees,https://facebook.com/thehelperbees,2016,Eric,Corum,Eric Corum,https://www.linkedin.com/in/eric-corum,"Austin, Texas Metropolitan Area",True
Shyft,Techstars 2016,"Seattle, Washington, United States",Techstars Seattle Accelerator,Mobile,Global Labor Marketplace,https://myshyft.com,https://linkedin.com/company/shyftapp,https://crunchbase.com/organization/coffee-mobile,https://twitter.com/shyft,https://facebook.com/shyft/,2016,Andy,Peterson,Andy Peterson,https://www.linkedin.com/in/andypetersonaustin/,"Austin, Texas, United States",True
Pillar Technologies,Techstars 2016,"New York City, New York, United States",Techstars IoT Accelerator,"Fintech, Insurtech, Internet of Things",Pillar prevents damages on construction sites using sensors and predictive analytics.,https://pillar.tech,https://linkedin.com/company/pillar-technologies-inc,https://crunchbase.com/organization/pillar-technologies,https://twitter.com/pillartechinc,https://facebook.com/PillarTechInc,2016,Alexander,Schwarzkopf,Alexander Schwarzkopf,https://www.linkedin.com/in/alexanderschwarzkopf,"Austin, Texas Metropolitan Area",True
PenPal Schools,Techstars 2016,"Austin, Texas, United States",Techstars Austin Accelerator,Edtech,PenPal Schools connects students from around the world to learn together.,https://penpalschools.com,https://linkedin.com/company/penpal-schools,https://crunchbase.com/organization/penpal-schools,https://twitter.com/penpalschools,https://facebook.com/PenPalSchools,2016,Joe,Troyen,Joe Troyen,https://www.linkedin.com/in/joetroyen,"Austin, Texas, United States",True
StoryFit,Techstars 2016,"Austin, Texas, United States",Techstars Austin Accelerator,Artificial intelligence and machine learning,"StoryFit uses machine learning and data analysis to predict content marketability, improve discovery, and drive sales for books, tv, and movies.",,https://linkedin.com/company/storyfit,https://crunchbase.com/organization/storyfit,https://twitter.com/storyfit,https://facebook.com/storyfit/,2016,Monica,Landers,Monica Landers,https://www.linkedin.com/in/molanders,"Austin, Texas, United States",True
Remidi,Techstars 2016,"Austin, Texas, United States",Techstars Austin Accelerator,Internet of Things,The first wearable music instrument,,https://linkedin.com/company/remidi,https://crunchbase.com/organization/remidi,https://twitter.com/REMIDI_PRO,https://facebook.com/RemidiPro/,2016,Mark,DeMay,Mark DeMay,https://www.linkedin.com/in/mark-demay-06a4451b,"Austin, Texas Metropolitan Area",True
Open Labs,Techstars 2016,"Boulder, Colorado, United States",Techstars Boulder Accelerator,"Technology, media and telecommunications",Providing hope for those with brain disorders,,https://linkedin.com/company/open-labs,https://crunchbase.com/organization/open-labs,https://twitter.com/openlabsco,https://facebook.com/openlabsbrasil,2016,Victor,Wong,Victor Wong,https://www.linkedin.com/in/victor-wong-2324aa6,"Austin, Texas, United States",True
Slingshot Aerospace,Techstars 2017,"El Segundo, California, United States",Techstars Space Accelerator,"Artificial intelligence and machine learning, Big Data, Robotics and Drones, Space tech","Slingshot develops technology to process and mine the disparate, ever-increasing deluge of signal data at a scale optimized for earth observation.",https://slingshotaerospace.com,https://linkedin.com/company/slingshot-aerospace,https://crunchbase.com/organization/slingshot-aerospace#section-overview,https://twitter.com/sling_shot_aero,https://facebook.com/slingshotaero/,2017,David,Godwin,David Godwin,https://www.linkedin.com/in/dgodwin4,"Austin, Texas, United States",True
Prefix,Techstars 2017,"Austin, Texas, United States",Techstars Boulder Accelerator,Internet of Things,PreFix enables you to stop spending time worrying about your home and save 30-50% off annual maintenance costs.,https://prefixinc.com,https://linkedin.com/company/prefix-digital-marketing-agency,https://crunchbase.com/organization/prefix,https://twitter.com/PreFixInc,https://facebook.com/prefixinc,2017,James,Bilodeau,James Bilodeau,https://www.linkedin.com/in/james-bilodeau-146385,"Austin, Texas, United States",True
NarrativeDx,Techstars 2017,"Austin, Texas, United States",,"Artificial intelligence and machine learning, Healthtech",NarrativeDx uses AI to help patient experience leaders identify actionable insights from patient feedbacknarrativedx.com,,https://linkedin.com/company/narrativedx,https://crunchbase.com/organization/narrativedx,https://twitter.com/narrativedx,https://facebook.com/NarrativeDx,2017,Kyle,Robertson,Kyle Robertson,https://www.linkedin.com/in/kylendx,"Austin, Texas, United States",True
NarrativeDx,Techstars 2017,"Austin, Texas, United States",,"Artificial intelligence and machine learning, Healthtech",NarrativeDx uses AI to help patient experience leaders identify actionable insights from patient feedbacknarrativedx.com,,https://linkedin.com/company/narrativedx,https://crunchbase.com/organization/narrativedx,https://twitter.com/narrativedx,https://facebook.com/NarrativeDx,2017,Senem,Guney,Senem Guney,https://www.linkedin.com/in/senemndx,"Austin, Texas, United States",True
WriterDuet,Techstars 2017,"Austin, Texas, United States",Techstars Austin Accelerator,"Mobile, Technology, media and telecommunications",WriterDuet is a real-time collaborative platform for creative teams to build stories.,https://writerduet.com,https://linkedin.com/company/writerduet,https://crunchbase.com/organization/writerduet,https://twitter.com/writerduet,https://facebook.com/WriterDuet,2017,Guy,Goldstein,Guy Goldstein,https://www.linkedin.com/in/guy-goldstein-2a041652,"Austin, Texas, United States",True
Sitter,Techstars 2017,"Boulder, Colorado, United States",Techstars Boulder Accelerator,Mobile,Sitter makes it insanely easy to book and pay your own babysitters and find the most recommended sitters in your circle of friends.,https://sitter.me,https://linkedin.com/company/sitter-inc,https://crunchbase.com/organization/sitter-inc#/entity,https://twitter.com/sitterme,https://facebook.com/sitter.me,2017,Matt,Stueve,Matt Stueve,https://www.linkedin.com/in/mattstueve,"Austin, Texas, United States",True
Threatcare,Techstars 2017,"Austin, Texas, United States",Techstars Austin Accelerator,"Cybersecurity, Infrastructure",Threatcare is a 100% cloud-based network intrusion simulation platform.,https://threatcare.com,https://linkedin.com/company/16260089,https://crunchbase.com/organization/vthreat,https://twitter.com/threatcare,https://facebook.com/pg/threatcare/,2017,Marcus,Carey,Marcus Carey,https://www.linkedin.com/in/marcuscarey,"Austin, Texas Metropolitan Area",True
Superpowered,Techstars 2017,"Austin, Texas, United States",Techstars Music Accelerator,"Audiotech, Mobile, Technology, media and telecommunications, Virtual reality","Superpowered allows consumers to listen, watch and play longer by using software to reduce CPU load -- making mobile and embedded hardware more efficient.",https://superpowered.com,https://linkedin.com/company/superpowered,https://crunchbase.com/organization/superpowered-inc#/entity,https://twitter.com/SuperpoweredSDK,https://facebook.com/SuperpoweredSDK/,2017,Patrick,Vlaskovits,Patrick Vlaskovits,https://www.linkedin.com/in/vlaskovits,"Austin, Texas, United States",True
TeacherTalent,Techstars 2017,"Austin, Texas, United States",Techstars Kansas City Accelerator,HRtech,Intelligent hiring for teachers and schools.,https://teachertalent.io,https://linkedin.com/company/16242896,https://crunchbase.com/organization/teachertalent,https://twitter.com/teacher_talent,https://facebook.com/TeacherTalent/,2017,Jose,Bethancourt,Jose Bethancourt,https://www.linkedin.com/in/josebethancourt,"Austin, Texas Metropolitan Area",True
